Name,City,State,OwnerType,Owner,Operator,Specialty,Region,License Status,Website,Notes
Proliance Hillside Medical Surgery Center,Puyallup,WA,Physician group,"Proliance Surgeons, Inc., P.S.",Unknown,ENT,Puget Sound,Active,,"DOH Credential: ASF.FS.60614436; Expires: 7/1/2027; Address: 104 27th Ave SE, Puyallup, WA 98374-1145"
Proliance Surgery Center at Rainier,Puyallup,WA,Physician group,"Proliance Surgeons, Inc., P.S.",Unknown,ENT,Puget Sound,Active,,"DOH Credential: ASF.FS.60101080; Expires: 7/1/2027; Address: 3801 5th St SE Ste 210, Puyallup, WA 98374-2106"
Puyallup Endoscopy Center,Puyallup,WA,Physician group,Western Washington Endoscopy Centers LLC,Unknown,GI/Endoscopy,Puget Sound,Active,,"DOH Credential: ASF.FS.60100990; Expires: 7/1/2027; Address: 1703 S Meridian Ste 203, Puyallup, WA 98371-7590"
Sunrise Endoscopy Center,Puyallup,WA,Physician group,Western Washington Endoscopy Centers LLC,Unknown,GI/Endoscopy,Puget Sound,Active,,"DOH Credential: ASF.FS.60100163; Expires: 7/1/2027; Address: 11216 Sunrise Blvd E Ste 201 Bldg 3, Puyallup, WA 98374-8848"
Northwest Eye Surgeons,Renton,WA,Independent / LLC,"Sight Partners, LLC",Unknown,Ophthalmology,Puget Sound,Active,,"DOH Credential: ASF.FS.60977747; Expires: 12/30/2026; Address: 1412 SW 43rd St Ste 320, Renton, WA 98057-4803"
Plastic and Reconstructive Surgeons ASC,Renton,WA,Physician group,"Proliance Surgeons, Inc., P.S.",Unknown,Plastic/Cosmetic,Puget Sound,Active,,"DOH Credential: ASF.FS.60572737; Expires: 8/3/2027; Address: 17930 Talbot Rd S, Renton, WA 98055-6230"
Proliance Surgery Center at Valley,Renton,WA,Physician group,"Proliance Surgery Center at Valley, LLC",Unknown,ENT,Puget Sound,Active,,"DOH Credential: ASF.FS.61084629; Expires: 5/5/2027; Address: 4009 Talbot Rd S Ste 200, Renton, WA 98055-5781"
Allure Esthetic,Seattle,WA,Physician group,Alderwood Surgery Center LLC,Unknown,ENT,Puget Sound,Active,,"DOH Credential: ASF.FS.60851025; Expires: 7/1/2027; Address: 600 Broadway Ste 320, Seattle, WA 98122-5371"
Evergreen Eye Center,Seattle,WA,Physician group,Evergreen Eye Center Inc PS,Unknown,Ophthalmology,Puget Sound,Active,,"DOH Credential: ASF.FS.60862319; Expires: 7/9/2027; Address: 1229 Madison St Ste 1250, Seattle, WA 98104-3568"
Eye Associates Northwest Surgery Center,Seattle,WA,Physician group,Eye Associates NW PC,Unknown,Ophthalmology,Puget Sound,Active,,"DOH Credential: ASF.FS.60102711; Expires: 1/10/2027; Address: 1455 NW Leary Way Ste 300, Seattle, WA 98107-5136"
First Hill Surgery Center,Seattle,WA,Physician group,First Hill Surgery Center LLC,Unknown,ENT,Puget Sound,Active,,"DOH Credential: ASF.FS.60641959; Expires: 7/7/2029; Address: 1101 Madison St Ste 200, Seattle, WA 98104-1321"
Fremont Endoscopy Center,Seattle,WA,Physician group,"GH Fremont Endoscopy Center Sub, LLC",Unknown,GI/Endoscopy,Puget Sound,Active,,"DOH Credential: ASF.FS.61651468; Expires: 6/20/2027; Address: 501 N 34th St Ste 101, Seattle, WA 98103-8856"
Kaiser Permanente Capitol Hill Procedure Center,Seattle,WA,Health system,Kaiser Foundation Health Plan of Washington,Unknown,ENT,Puget Sound,Active,,"DOH Credential: ASF.FS.60627140; Expires: 6/17/2028; Address: 125 16th Ave E, Seattle, WA 98112-5211"
Madison Tower Surgery Center,Seattle,WA,Independent / LLC,"Shahram Salemy, M.D., PLLC",Unknown,ENT,Puget Sound,Active,,"DOH Credential: ASF.FS.60430558; Expires: 2/6/2029; Address: 1101 Madison St Ste 1100, Seattle, WA 98104-3558"
Northwest Eye Surgeons,Seattle,WA,Independent / LLC,"Sight Partners, LLC",Unknown,Ophthalmology,Puget Sound,Active,,"DOH Credential: ASF.FS.61256745; Expires: 10/5/2027; Address: 332 NE Northgate Way, Seattle, WA 98125-6047"
Pacific Northwest Center for Facial Plastic Surgery,Seattle,WA,Physician group,"Larrabee Center For Facial Plastic Surgery, PLLC",Unknown,Plastic/Cosmetic,Puget Sound,Active,,"DOH Credential: ASF.FS.60103273; Expires: 7/7/2027; Address: 600 Broadway Ste 280, Seattle, WA 98122-5371"
Pacmed Ambulatory Surgical Clinic,Seattle,WA,Physician group,Pacmed Clinics,Unknown,Multi-specialty / Unknown,Puget Sound,Active,,"DOH Credential: ASF.FS.60100067; Expires: 7/1/2027; Address: 1101 Madison St Ste 400, Seattle, WA 98104-3599"
Proliance Center for Specialty Surgery,Seattle,WA,Physician group,"Proliance Surgeons, Inc., P.S.",Unknown,ENT,Puget Sound,Active,,"DOH Credential: ASF.FS.60639476; Expires: 7/1/2027; Address: 515 Minor Ave Ste 130, Seattle, WA 98104-2138"
Proliance Surgeons Seattle Orthopedic Center - ASC,Seattle,WA,Physician group,"Proliance Surgeons, Inc., P.S.",Unknown,Orthopedics,Puget Sound,Active,,"DOH Credential: ASF.FS.60101053; Expires: 7/1/2027; Address: 2409 N 45th St, Seattle, WA 98103-6907"
Seattle Facial Plastic Surgery Center,Seattle,WA,Physician-affiliated,"Aesthetic Associates, Inc., P.S.",Unknown,Plastic/Cosmetic,Puget Sound,Active,,"DOH Credential: ASF.FS.60100192; Expires: 7/1/2027; Address: 1101 Madison St Ste 1280, Seattle, WA 98104-3510"
Seattle Hand Surgery Group PC,Seattle,WA,Physician-affiliated,Seattle Hand Surgery Group PC,Unknown,Multi-specialty / Unknown,Puget Sound,Active,,"DOH Credential: ASF.FS.60100927; Expires: 7/1/2027; Address: 600 Broadway Ste 440, Seattle, WA 98122-5377"
Seattle Reproductive Surgery Center,Seattle,WA,Physician group,Seattle Reproductive Surgery Center,Unknown,ENT,Puget Sound,Active,,"DOH Credential: ASF.FS.60116732; Expires: 1/21/2028; Address: 1505 Westlake Ave N Ste 400, Seattle, WA 98109-6211"
Seattle Spine Institute,Seattle,WA,Physician group,Seattle Spine Institute PLLC,Unknown,Spine,Puget Sound,Active,,"DOH Credential: ASF.FS.60102756; Expires: 7/1/2027; Address: 550 16th Ave Ste 404, Seattle, WA 98122-5636"
Seattle Surgery Center,Seattle,WA,Physician group,Seattle Surgery Center LLC,Unknown,ENT,Puget Sound,Active,,"DOH Credential: ASF.FS.61485635; Expires: 7/1/2027; Address: 900 Terry Ave Fl 2, Seattle, WA 98104-4230"
Sound Plastic Surgery,Seattle,WA,Physician group,"Sound Plastic Surgery, PLLC",Unknown,Plastic/Cosmetic,Puget Sound,Active,,"DOH Credential: ASF.FS.61511729; Expires: 1/29/2027; Address: 4915 25th Ave NE Ste 103A, Seattle, WA 98105-5667"
The Polyclinic - Plastic Surgery Center,Seattle,WA,Physician group,The Polyclinic A Professional Corporation,Unknown,Plastic/Cosmetic,Puget Sound,Active,,"DOH Credential: ASF.FS.60452365; Expires: 3/7/2029; Address: 1229 Madison St Ste 1660, Seattle, WA 98104-3586"
The Polyclinic Surgery Endoscopy Centers,Seattle,WA,Physician group,The Polyclinic A Professional Corporation,Unknown,GI/Endoscopy,Puget Sound,Active,,"DOH Credential: ASF.FS.60100082; Expires: 7/1/2027; Address: 1145 Broadway, Seattle, WA 98122-4201"
Westwood Eye Surgery and Laser,Seattle,WA,Physician group,"Clearview Eye and Laser, PLLC",Unknown,Ophthalmology,Puget Sound,Active,,"DOH Credential: ASF.FS.60532154; Expires: 1/9/2027; Address: 7520 35th Ave SW, Seattle, WA 98126-3228"
Digestive Disease and Endoscopy Center LLC,Silverdale,WA,Physician group,Digestive Disease and Endoscopy Center LLC,Unknown,GI/Endoscopy,Puget Sound,Active,,"DOH Credential: ASF.FS.60287214; Expires: 6/20/2027; Address: 3261 NW Mount Vintage Way Ste 221, Silverdale, WA 98383-6039"
Pacific Cataract and Laser Institute,Silverdale,WA,Physician-affiliated,"Pacific Cataract and Laser Institute, Inc., P.C.",Unknown,Ophthalmology,Puget Sound,Active,,"DOH Credential: ASF.FS.60622145; Expires: 12/16/2027; Address: 9598 Mickelberry Rd NW, Silverdale, WA 98383-8339"
Salmon Surgery Center,Silverdale,WA,Physician group,"Salmon Surgery Center, LLC",Unknown,ENT,Puget Sound,Active,,"DOH Credential: ASF.FS.61056111; Expires: 7/1/2027; Address: 2200 NW Myhre Rd, Silverdale, WA 98383-7681"
Surgery Center of Silverdale,Silverdale,WA,Physician group,Surgery Center of Silverdale LLC,Unknown,ENT,Puget Sound,Active,,"DOH Credential: ASF.FS.60100155; Expires: 7/1/2027; Address: 9800 Levin Rd NW Ste 102, Silverdale, WA 98383-7849"
Aesthetica Clinique LLC,Tacoma,WA,Independent / LLC,Aesthetica Clinique LLC,Unknown,Plastic/Cosmetic,Puget Sound,Active,,"DOH Credential: ASF.FS.60629909; Expires: 4/22/2028; Address: 801 Pacific Ave, Tacoma, WA 98402-5209"
Artistic Plastic Surgery Center,Tacoma,WA,Physician group,Artistic Plastic Surgery Center PLLC,Unknown,Plastic/Cosmetic,Puget Sound,Active,,"DOH Credential: ASF.FS.60099774; Expires: 7/1/2027; Address: 3515 S 15th St Ste 101, Tacoma, WA 98405-1955"
Cedar Laser and Surgery Center,Tacoma,WA,Physician group,"Aesthetic Surgery Centre, PLLC",Unknown,Ophthalmology,Puget Sound,Active,,"DOH Credential: ASF.FS.60252056; Expires: 12/8/2026; Address: 2202 S Cedar St Ste 150, Tacoma, WA 98405-2321"
Evergreen Eye Center,Tacoma,WA,Physician group,Evergreen Eye Center Inc PS,Unknown,Ophthalmology,Puget Sound,Active,,"DOH Credential: ASF.FS.61026553; Expires: 12/24/2028; Address: 502 S M St, Tacoma, WA 98405-3728"
Kaiser Permanente Tacoma  Ambulatory Surgery Center,Tacoma,WA,Health system,Kaiser Foundation Health Plan of Washington,Unknown,ENT,Puget Sound,Active,,"DOH Credential: ASF.FS.60100949; Expires: 7/1/2027; Address: 209 Martin Luther King Jr Way, Tacoma, WA 98405-4265"
Narrows Eye Surgery Center,Tacoma,WA,Physician group,Eye MDs of Puget Sound PLLC,Unknown,Ophthalmology,Puget Sound,Active,,"DOH Credential: ASF.FS.61002680; Expires: 5/8/2029; Address: 4707 S 19th St Lower Level, Tacoma, WA 98405"
Pacific Cataract and Laser Institute,Tacoma,WA,Physician-affiliated,"Pacific Cataract and Laser Institute, Inc., P.C.",Unknown,Ophthalmology,Puget Sound,Active,,"DOH Credential: ASF.FS.60101100; Expires: 3/8/2027; Address: 2915 S Alder St, Tacoma, WA 98409-4803"
Pacific Northwest Eye Associates,Tacoma,WA,Physician group,"PNW Eye, PLLC",Unknown,Ophthalmology,Puget Sound,Active,,"DOH Credential: ASF.FS.60262678; Expires: 2/8/2027; Address: 3602 S 19th St, Tacoma, WA 98405-1919"
Sono Bello,Tacoma,WA,Physician-affiliated,"Aesthetic Physicians, PC",Unknown,Plastic/Cosmetic,Puget Sound,Active,,"DOH Credential: ASF.FS.60386753; Expires: 11/14/2028; Address: 3209 S 23rd St Ste 170, Tacoma, WA 98405-1621"
Waldron Endoscopy Center,Tacoma,WA,Physician group,Western Washington Endoscopy Centers LLC,Unknown,GI/Endoscopy,Puget Sound,Active,,"DOH Credential: ASF.FS.60100195; Expires: 7/1/2027; Address: 3209 S 23rd St Fl 2, Tacoma, WA 98405-1602"
Laser and Surgery Center LLC,Lacey,WA,Physician group,Laser and Surgery Center LLC,Unknown,Ophthalmology,South Sound,Active,,"DOH Credential: ASF.FS.60101649; Expires: 1/10/2027; Address: 345 College St SE Ste A, Lacey, WA 98503-1014"
Pacific Cataract and Laser Institute,Lacey,WA,Physician-affiliated,"Pacific Cataract and Laser Institute, Inc., P.C.",Unknown,Ophthalmology,South Sound,Active,,"DOH Credential: ASF.FS.60101112; Expires: 3/8/2027; Address: 7730 Britton Pkwy NE, Lacey, WA 98516-4642"
Foley Plastic Surgery Center,Olympia,WA,Physician-affiliated,"A. L. Foley III, M.D., Inc. P.S.",Unknown,Plastic/Cosmetic,South Sound,Active,,"DOH Credential: ASF.FS.60102721; Expires: 7/1/2027; Address: 3425 Ensign Rd NE Ste 300, Olympia, WA 98506-5063"
Gastroenterology Associates Endoscopy Center,Olympia,WA,Physician group,Gastroenterology Associates LLC,Unknown,GI/Endoscopy,South Sound,Active,,"DOH Credential: ASF.FS.61032369; Expires: 5/22/2027; Address: 209 Lilly Rd NE Ste A, Olympia, WA 98506-5030"
Olympia Multi Specialty Clinic Ambulatory Procedure Center,Olympia,WA,Physician group,Olympia Multi Specialty Clinic Ambulatory Procedures Center PLLC,Unknown,ENT,South Sound,Active,,"DOH Credential: ASF.FS.60100042; Expires: 1/1/2027; Address: 3920 Capitol Mall Dr SW Ste 300, Olympia, WA 98502-8701"
Olympia Surgery Center,Olympia,WA,Physician-affiliated,"Ear, Nose, and Throat Associates Southwest, Inc., P.S.",Unknown,ENT,South Sound,Active,,"DOH Credential: ASF.FS.61365265; Expires: 12/14/2026; Address: 128 Lilly Rd NE Ste 101, Olympia, WA 98506-7400"
Olympia Surgery Center,Olympia,WA,Physician group,Olympia Orthopaedic Associates PLLC,Unknown,Orthopedics,South Sound,Active,,"DOH Credential: ASF.FS.60320652; Expires: 12/6/2027; Address: 3901 Capital Mall Dr SW Ste B, Olympia, WA 98502-8654"
Pain Care Physicians PLLC,Olympia,WA,Independent / LLC,Pain Care Physicians PLLC,Unknown,Pain,South Sound,Active,,"DOH Credential: ASF.FS.60979461; Expires: 8/27/2027; Address: 155 Lilly Rd NE Ste B, Olympia, WA 98506-5028"
Pearl Plastic Surgery,Olympia,WA,Independent / LLC,"CMN Industries, PLLC",Unknown,Plastic/Cosmetic,South Sound,Active,,"DOH Credential: ASF.FS.60927357; Expires: 3/3/2027; Address: 145 Lilly Rd NE Ste 101, Olympia, WA 98506-5028"
The Laser and Surgery Center,Clarkston,WA,Physician group,Eye Care Specialists PS,Unknown,Ophthalmology,Southeast WA,Active,,"DOH Credential: ASF.FS.60100965; Expires: 7/1/2027; Address: 500 Port Dr, Clarkston, WA 99403-1835"
Walla Walla Clinic Ambulatory Surgery Center,Walla Walla,WA,Physician group,Walla Walla Clinic Inc,Unknown,ENT,Southeast WA,Active,,"DOH Credential: ASF.FS.60103014; Expires: 7/1/2027; Address: 55 W Tietan St Bldg B, Walla Walla, WA 99362-4445"
Pacific Surgical Center,Longview,WA,Physician group,The Longview Surgical Center LLC,Unknown,ENT,Southwest WA,Active,,"DOH Credential: ASF.FS.60100939; Expires: 7/1/2027; Address: 625 9th Ave Ste 110, Longview, WA 98632-2465"
Advanced Endoscopy Center dba Salmon Creek Surgery Center,Vancouver,WA,Physician group,Advanced Endoscopy Center PLLC,Unknown,GI/Endoscopy,Southwest WA,Active,,"DOH Credential: ASF.FS.60280600; Expires: 9/7/2027; Address: 2415 NE 134th St Ste 205, Vancouver, WA 98686-3032"
Pacific Cataract and Laser Institute,Vancouver,WA,Physician-affiliated,"Pacific Cataract and Laser Institute, Inc., P.C.",Unknown,Ophthalmology,Southwest WA,Active,,"DOH Credential: ASF.FS.61505636; Expires: 10/8/2027; Address: 9309 NE 86th St, Vancouver, WA 98662-2100"
Pacific Gastro Health,Vancouver,WA,Physician group,Pacific Gastroenterology PLLC,Unknown,GI/Endoscopy,Southwest WA,Active,,"DOH Credential: ASF.FS.60624870; Expires: 11/9/2028; Address: 8506 E Mill Plain Blvd Ste C, Vancouver, WA 98664-2011"
Rebound Surgery Center,Vancouver,WA,Physician group,Southwest Washington Regional Surgery Center,Unknown,ENT,Southwest WA,Active,,"DOH Credential: ASF.FS.60099977; Expires: 7/1/2027; Address: 200 NE Mother Joseph Pl Ste 200, Vancouver, WA 98664-3294"
Salmon Creek Plastic Surgery,Vancouver,WA,Physician group,"Salmon Creek Plastic Surgery, P.C.",Unknown,Plastic/Cosmetic,Southwest WA,Active,,"DOH Credential: ASF.FS.60101710; Expires: 7/1/2027; Address: 13712 NE 10th Ave, Vancouver, WA 98685-2628"
The Vancouver Clinic Surgery Center at Salmon Creek,Vancouver,WA,Physician group,"The Vancouver Clinic, Inc. P.S.",Unknown,ENT,Southwest WA,Active,,"DOH Credential: ASF.FS.61343857; Expires: 1/25/2029; Address: 2529 NE 139th St, Vancouver, WA 98686-2719"
Vancouver Clinic Endoscopy Center,Vancouver,WA,Physician group,"The Vancouver Clinic, Inc. P.S.",Unknown,GI/Endoscopy,Southwest WA,Active,,"DOH Credential: ASF.FS.60103037; Expires: 7/1/2027; Address: 700 NE 87th Ave Ste 320, Vancouver, WA 98664-1913"
Vancouver Eye Care Surgery and Laser Center,Vancouver,WA,Physician group,Vancouver Eye Care PS,Unknown,Ophthalmology,Southwest WA,Active,,"DOH Credential: ASF.FS.60099966; Expires: 7/1/2027; Address: 17720 SE Mill Plain Blvd Ste 100, Vancouver, WA 98683-7584"
Chesnut Institute of Cosmetic and Reconstructive Surgery,Spokane,WA,Independent / LLC,Chesnut Institute of Cosmetic and Reconstructive Surgery PLLC,Unknown,Plastic/Cosmetic,Spokane,Active,,"DOH Credential: ASF.FS.60776003; Expires: 5/14/2027; Address: 510 S Cowley St Ste 201, Spokane, WA 99202-1332"
"Columbia Surgery Center, LLC",Spokane,WA,Physician group,"Columbia Surgery Center, LLC",Unknown,ENT,Spokane,Active,,"DOH Credential: ASF.FS.61362533; Expires: 7/1/2027; Address: 217 W Cataldo Ave, Spokane, WA 99201-2217"
Multicare Rockwood Eye Surgery Center,Spokane,WA,Health system,MultiCare Health System,Unknown,Ophthalmology,Spokane,Active,,"DOH Credential: ASF.FS.60833960; Expires: 8/8/2027; Address: 842 S Cowley St Ste 3, Spokane, WA 99202-1234"
NEOS Surgery Center,Spokane,WA,Physician group,"Northwest Eyelid and Orbital Specialists, P.S.",Unknown,Ophthalmology,Spokane,Active,,"DOH Credential: ASF.FS.60417825; Expires: 1/9/2029; Address: 626 S Sheridan St, Spokane, WA 99202"
Northwest Orthopaedic Specialists,Spokane,WA,Physician group,Northwest Orthopaedic Specialists PS,Unknown,Orthopedics,Spokane,Active,,"DOH Credential: ASF.FS.60100039; Expires: 7/1/2027; Address: 601 W 5th Ave Ste 500, Spokane, WA 99204-2756"
Plastic Surgery Northwest Surgery Center,Spokane,WA,Physician group,"The Plastic Surgicenter, Inc.",Unknown,Plastic/Cosmetic,Spokane,Active,,"DOH Credential: ASF.FS.60100936; Expires: 7/1/2027; Address: 535 S Pine St, Spokane, WA 99202-1347"
Shape Cosmetic Surgery & MedSpa,Spokane,WA,Independent / LLC,"Shape Cosmetic Surgery & MedSpa, PLLC",Unknown,Plastic/Cosmetic,Spokane,Active,,"DOH Credential: ASF.FS.60903051; Expires: 6/24/2028; Address: 5915 S Regal St Ste 110, Spokane, WA 99223"
Sixth Avenue Surgery Center,Spokane,WA,Physician group,"Sand Plastic Surgery, PLLC",Unknown,Plastic/Cosmetic,Spokane,Active,,"DOH Credential: ASF.FS.61388341; Expires: 10/26/2026; Address: 307 W 6th Ave Ste 200, Spokane, WA 99204-2540"
South Perry Endoscopy,Spokane,WA,Independent / LLC,South Perry Endoscopy PLLC,Unknown,GI/Endoscopy,Spokane,Active,,"DOH Credential: ASF.FS.60700933; Expires: 6/13/2029; Address: 907 S Perry St, Spokane, WA 99202-3462"
Spokane Digestive Disease Center,Spokane,WA,Physician group,"Spokane Digestive Disease Center, P.S.",Unknown,GI/Endoscopy,Spokane,Active,,"DOH Credential: ASF.FS.60101130; Expires: 7/1/2027; Address: 105 W 8th Ave Ste 6010, Spokane, WA 99204-2318"
Spokane Eye Surgery Center,Spokane,WA,Physician group,"Spokane Eye Clinic, PS",Unknown,Ophthalmology,Spokane,Active,,"DOH Credential: ASF.FS.60101697; Expires: 7/1/2027; Address: 427 S Bernard St Ste 200, Spokane, WA 99204-2509"
Urology Surgery Center Northwest,Spokane,WA,Independent / LLC,"Spokane Urology, PLLC",Unknown,ENT,Spokane,Active,,"DOH Credential: ASF.FS.61325745; Expires: 7/24/2026; Address: 1401 E Trent Ave Ste 100, Spokane, WA 99202-2902"
Anesis Spokane ASC,Spokane Valley,WA,Independent / LLC,Pain Care Physicians PLLC,Unknown,Pain,Spokane,Active,,"DOH Credential: ASF.FS.61565925; Expires: 1/21/2028; Address: 1415 N Houk Rd Ste B, Spokane Valley, WA 99216-1043"
Empire Eye Physicians,Spokane Valley,WA,Independent / LLC,"Sight Partners, LLC",Unknown,Ophthalmology,Spokane,Active,,"DOH Credential: ASF.FS.61339788; Expires: 7/1/2027; Address: 16010 E Indiana Ave, Spokane Valley, WA 99216-1813"
"Eye Consultants, P.S.",Spokane Valley,WA,Physician group,Eye Consultants PS,Unknown,Ophthalmology,Spokane,Active,,"DOH Credential: ASF.FS.70036666; Expires: 2/5/2029; Address: 15106 E Sprague Ave Ste B, Spokane Valley, WA 99037"
Northwest Orthopaedic Specialists,Spokane Valley,WA,Physician group,Northwest Orthopaedic Specialists PS,Unknown,Orthopedics,Spokane,Active,,"DOH Credential: ASF.FS.61316373; Expires: 9/26/2026; Address: 12410 E Sinto Ave Ste LL101, Spokane Valley, WA 99216-2399"
Pacific Cataract and Laser Institute,Spokane Valley,WA,Physician-affiliated,"Pacific Cataract and Laser Institute, Inc., P.C.",Unknown,Ophthalmology,Spokane,Active,,"DOH Credential: ASF.FS.60699501; Expires: 11/18/2028; Address: 16818 E Desmet Ct, Spokane Valley, WA 99216"
Providence Surgery and Procedure Center,Spokane Valley,WA,Health system,"Providence Surgery and Procedure Center, LLC",Unknown,ENT,Spokane,Active,,"DOH Credential: ASF.FS.61369112; Expires: 1/16/2027; Address: 16528 E Desmet Ct Ste A2100, Spokane Valley, WA 99216-3522"
SRM Spokane,Spokane Valley,WA,Physician-affiliated,Seattle Reproductive Medicine Inc PS,Unknown,Reproductive,Spokane,Active,,"DOH Credential: ASF.FS.60443322; Expires: 5/5/2029; Address: 15920 E Indiana Ave, Spokane Valley, WA 99216-6011"
Spokane Surgery Center,Spokane Valley,WA,Unknown,"Spokane Podiatry, PS",Unknown,ENT,Spokane,Active,,"DOH Credential: ASF.FS.61252812; Expires: 12/4/2026; Address: 12109 E Broadway Ave Bldg C, Spokane Valley, WA 99206-6133"
Spokane Valley Ambulatory Surgery Center,Spokane Valley,WA,Physician-affiliated,"Spokane Valley Ear, Nose, & Throat, P.S.",Unknown,ENT,Spokane,Active,,"DOH Credential: ASF.FS.60129513; Expires: 1/19/2028; Address: 1424 N McDonald Rd Ste 102, Spokane Valley, WA 99216-1088"
Gastro Health - Tri-Cities,Kennewick,WA,Physician group,Puget Sound Gastroenterology PLLC,Unknown,GI/Endoscopy,Tri-Cities,Active,,"DOH Credential: ASF.FS.61252855; Expires: 2/1/2027; Address: 7114 W Hood Pl, Kennewick, WA 99336-6712"
High Desert Surgery Center,Kennewick,WA,Physician group,High Desert Surgery Center LLC,Unknown,ENT,Tri-Cities,Active,,"DOH Credential: ASF.FS.60101793; Expires: 7/1/2027; Address: 521 N Young St Ste 100, Kennewick, WA 99336-7806"
Mid-Columbia Endoscopy Center,Kennewick,WA,Physician group,Mid-Columbia Endoscopy Center LLC,Unknown,GI/Endoscopy,Tri-Cities,Active,,"DOH Credential: ASF.FS.60301938; Expires: 11/6/2027; Address: 8819 W Victoria Ave, Kennewick, WA 99336-7193"
Pacific Cataract and Laser Institute,Kennewick,WA,Physician-affiliated,"Pacific Cataract and Laser Institute, Inc., P.C.",Unknown,Ophthalmology,Tri-Cities,Active,,"DOH Credential: ASF.FS.60340640; Expires: 5/30/2028; Address: 6695 W Rio Grande Ave, Kennewick, WA 99336-3301"
The Surgery Center at Tri-City Orthopaedic Clinic,Kennewick,WA,Physician group,Tri-City Orthopaedic Clinic PSC,Unknown,Orthopedics,Tri-Cities,Active,,"DOH Credential: ASF.FS.60509264; Expires: 12/9/2026; Address: 6703 W Rio Grande Ave, Kennewick, WA 99336-2623"
Apex Spine ASC,Richland,WA,Physician group,"Apex Spine Institute, PLLC",Unknown,Spine,Tri-Cities,Active,,"DOH Credential: ASF.FS.61287220; Expires: 7/1/2027; Address: 985 Goethals Dr, Richland, WA 99352-3527"
"Kadlec Ambulatory Endoscopy Center, Lee Campus",Richland,WA,Physician group,Kadlec Regional  Medical Center,Unknown,GI/Endoscopy,Tri-Cities,Active,,"DOH Credential: ASF.FS.61022929; Expires: 9/8/2026; Address: 1270 Lee Blvd Ste B, Richland, WA 99352-4231"
"Kadlec Ambulatory Surgery Center, Spaulding Campus",Richland,WA,Physician group,Kadlec Regional  Medical Center,Unknown,ENT,Tri-Cities,Active,,"DOH Credential: ASF.FS.60788612; Expires: 2/26/2027; Address: 1351 Fowler St Ste 100, Richland, WA 99352-4714"
Northwest Endovascular Surgery,Richland,WA,Physician group,"Columbia Interventional Radiology Consulting Inc., PS",Unknown,ENT,Tri-Cities,Active,,"DOH Credential: ASF.FS.60528629; Expires: 4/15/2028; Address: 1341 Spaulding Ave, Richland, WA 99352-4708"
Tri-City Regional Surgery Center,Richland,WA,Physician group,Tri-City Regional Surgery Center LLC,Unknown,ENT,Tri-Cities,Active,,"DOH Credential: ASF.FS.60100019; Expires: 7/1/2027; Address: 1096 Goethals Dr, Richland, WA 99352-3303"
